tweet_id,favorite_count,retweet_count
855862651834028034,334,25
855860136149123072,4842,958
855857698524602368,11616,2048
855851453814013952,44742,17476
855818117272018944,26121,5275
855459453768019968,29270,8000
855245323840757760,0,5813
855138241867124737,0,43
854732716440526848,22400,5925
854482394044301312,28810,6713
854365224396361728,18584,4584
854120357044912130,31479,7316
854010172552949760,15975,3086
853760880890318849,28179,5626
853639147608842240,34266,9868
853299958564483072,15287,3487
852936405516943360,0,1966
852912242202992640,8932,1785
852672615818899456,14737,2115
852553447878664193,16128,3425
852311364735569921,32770,9783
852226086759018497,19771,6737
852189679701164033,11334,1564
851861385021730816,0,19
851591660324737024,16112,3436
851464819735769094,24042,6956
851224888060895234,20517,5657
850753642995093505,30614,9038
850380195714523136,12992,2585
850333567704068097,3433,327
850145622816686080,16224,3763
850019790995546112,20314,4834
849776966551130114,30295,7541
849668094696017920,0,4912
849412302885593088,15797,3136
849336543269576704,11363,1892
849051919805034497,42165,8414
848690551926992896,25101,4285
848324959059550208,24639,4578
848213670039564288,8152,727
848212111729840128,16271,3021
847978865427394560,0,3242
847971574464610304,0,429
847962785489326080,23438,5052
847842811428974592,5419,1325
847617282490613760,6969,416
847606175596138505,18726,3409
847251039262605312,20468,4285
847157206088847362,19849,5828
847116187444137987,21426,3166
846874817362120707,20093,3915
846514051647705089,44608,11541
846505985330044928,14099,3052
846153765933735936,31638,9027
846139713627017216,31065,9986
846042936437604353,16001,2857
845812042753855489,29295,8691
845677943972139009,25215,4792
845397057150107648,7646,1803
845306882940190720,23388,5386
845098359547420673,0,7643
844979544864018432,13666,2561
844973813909606400,15119,3191
844580511645339650,16517,3131
844223788422217728,13684,2201
843981021012017153,15219,2948
843856843873095681,21539,4631
843604394117681152,16954,2746
843235543001513987,21587,6031
842846295480000512,15323,3643
842765311967449089,6771,1288
842535590457499648,18178,3520
842163532590374912,24582,5813
842115215311396866,14044,3042
841833993020538882,0,15206
841680585030541313,25858,7827
841439858740625411,12721,3703
841320156043304961,19900,5517
841314665196081154,15924,4687
841077006473256960,23011,5339
840761248237133825,0,1777
840728873075638272,0,16237
840698636975636481,177,2
840696689258311684,12371,975
840632337062862849,9055,1777
840370681858686976,16570,4569
840268004936019968,19411,5770
839990271299457024,13517,2292
839549326359670784,27703,7823
839290600511926273,0,145
839239871831150596,27387,6576
838952994649550848,19826,4034
838921590096166913,11255,2080
838916489579200512,0,35
838831947270979586,0,11104
838561493054533637,11020,1346
838476387338051585,22749,4821
838201503651401729,0,10169
838150277551247360,1689,333
838085839343206401,143,1
838083903487373313,17799,3169
837820167694528512,34474,7934
837482249356513284,3875,444
837471256429613056,12928,2298
837110210464448512,16219,2389
836989968035819520,12895,2308
